en_key,type,official_zh,youmin_zh,portal_zh,baha_zht,recommended_zh,aliases,conflict,evidence
Pill bottle,Item,,,,,药瓶,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Plastic cup,Item,,,,,塑料杯,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Plastic fish,Item,,,,,塑料鱼,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Pro-flashlight,Item,专业手电筒,高级手电筒/手电筒Pro,手电筒Pro(3DM)/专业手电筒(B站V81),高級手電筒,专业手电筒,高级手电筒;手电筒Pro,,官方map;游民1679425+1679045;3DM gl3925654_34;巴哈snA=2
Radar-booster,Item,雷达增幅器,雷达发射器,雷达增幅器(3DM、B站V81)/雷达发射器(B站终端帖),(保留英文Radar Booster、僅描述為監視器),雷达增幅器,雷达发射器,,官方map;游民1679045;3DM gl3925654_37;B站cv31058075;巴哈snA=4
Red soda,Item,,,,,红色苏打水,红色汽水,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Ribcage,Item,,,,肋骨,肋骨,,官方未翻;仅单源(巴哈),巴哈snA=181
Ring,Item,,,,,戒指,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Rubber Ducky,Item,,,,,橡皮鸭鸭,橡皮鸭;橡胶鸭,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Shovel,Item,铲子,大铲子,铲子(3DM)/铁铲(B站V81)/大铲子(B站终端帖),鏟子,铲子,大铲子;铁铲,,官方map;游民1679045;3DM gl3925654_33;B站cv31058075;巴哈snA=4
Soccer ball,Item,,,,,足球,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Spray paint,Item,,,喷漆(3DM)/喷漆罐(B站V81),噴漆,喷漆,喷漆罐,官方未翻,3DM gl3925654_38;B站cv31058075;巴哈snA=4
Steering wheel,Item,,,,,方向盘,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Sticky note,Item,,,,,便签,便利贴,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Stun grenade,Item,眩晕手雷,闪光弹,震爆弹(3DM)/闪光弹(B站终端帖)/闪光震撼弹(B站V81),閃光彈(亦稱震撼彈),眩晕手雷,闪光弹;震爆弹;闪光震撼弹;震撼弹,,官方map;游民1679045;3DM gl3925654_34;B站cv31058075;巴哈snA=4
Tea kettle,Item,,,,,茶壶,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Teeth,Item,,,,,假牙,牙齿,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/;NakiriFox另有Dentures=假牙
Toilet paper,Item,,,,,厕纸,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Tongue,Item,,,,,,,全缺,官方wiki无zh-cn标题;三路社区均未覆盖
Toothpaste,Item,,,,,牙膏,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Toy cube,Item,,,,,玩具魔方,玩具方块;魔方,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Toy robot,Item,机器人玩具,,,,机器人玩具,,,官方map
Toy train,Item,,,,,玩具火车,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
TZP-Inhalant,Item,TZP吸入剂,TZP-可吸入增强剂,TZP吸入剂(3DM、B站V81)/TZP-可吸入增强剂(B站终端帖),(無正式譯名、僅描述為加速藥),TZP吸入剂,TZP-可吸入增强剂,,官方map;游民1679045;3DM gl3925654_35;B站cv31058075;巴哈snA=4
V-type engine,Item,,,,,V型引擎,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Walkie-talkie,Item,,对讲机,对讲机,無線電(星球篇:無線對講機),对讲机,无线电;无线对讲机,官方未翻,官方map(Walkie-talkie/zh-cn未翻);游民1679425+1679045;3DM gl3925654_32;B站cv27889244;巴哈snA=4
Weed killer,Item,,,除草剂(B站V81),,除草剂,,官方未翻;仅单源(B站),B站cv31058075
Whoopie cushion,Item,,,,,放屁袋,放屁臭垫,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Zap gun,Item,电击枪,电击枪,电击枪,電擊槍,电击枪,,,官方map;游民1679045;3DM gl3925654_36;B站cv27889244;巴哈snA=4
Zed Dog,Item,泽德犬,,,,泽德犬,,,官方map(三路社区均未覆盖)
Main Page,System,主页,,,,主页,,,官方map
Entities,System,实体,,,,实体,怪物,,官方map;社区泛称怪物
Moons,System,星球,,,,星球,卫星;关卡地图,,官方map;游民1679397/1679441泛称卫星、关卡地图
Interiors,System,内部结构,,,,内部结构,设施,,官方map;游民1679397称设施
Lethal Company,System,致命公司,,,,致命公司,,,官方map
HUD,System,抬头显示系统,,,,抬头显示系统,,,官方map
Mechanics,System,机制,,,,机制,,,官方map
Scrap,System,废料,废品,废料(B站V81)/收集品、可回收物品(3DM),廢料(亦稱廢棄物),废料,废品;收集品;可回收物品;废弃物,,官方map;游民1679679;B站cv31058075;3DM gl3925654_2;巴哈snA=94
Weather,System,天气,天气,天气(B站V81分日食/雷暴/洪水/大雾/降雨),天氣,天气,,,官方map;游民1679679;B站cv31058075;巴哈snA=2
Sigurd Logs,System,Sigurd 的日志,,,,Sigurd 的日志,,,官方map
Traps,System,陷阱,陷阱,,,陷阱,,,官方map;游民1679423
Store,System,商店,商店,商店(B站STORE采购商店),,商店,采购商店,,官方map;游民1679679;B站cv27889244+cv31058075
Tips and Tricks,System,提示和技巧,,,,提示和技巧,,,官方map
Tips and Tricks (Spoilers),System,提示与技巧（详细）,,,,提示与技巧（详细）,,,官方map
Tools Guide,System,,,,,,,官方未翻;全缺(社区无对应页面级术语),官方map(Tools Guide/zh-cn未翻)
Ship,System,飞船,飞船,飞船,飛船(口語:船),飞船,船,,官方map;游民1679679;3DM gl3925654_2;B站cv31058075;巴哈snA=184
Zeekerss,System,齐克斯,,,,齐克斯,,,官方map
Weekly challenge,System,每周挑战,,,,每周挑战,,,官方map
Turret,System,炮塔,炮塔,炮塔,砲台(亦稱機槍塔/槍塔),炮塔,炮台;机枪塔;枪塔,,官方map;游民1679423;B站cv31058075;3DM gl3925654;巴哈snA=7
The Company,System,公司,公司/公司大楼,公司(窗口生物3DM图鉴称交易员),公司,公司,公司大楼;交易员,,官方map;游民1679397;3DM gl3925654_17;巴哈snA=165
Quota,System,配额,配额/指标,配额(B站V81:PROFIT QUOTA),業績(口語、非正式定名),配额,指标;交货指标;业绩,,官方map;游民1679397+1679679_3;B站cv31058075;巴哈snA=2
Landmine,System,地雷,地雷,地雷,地雷,地雷,,,官方map;游民1679423;B站cv31058075;巴哈snA=7
Spike Trap,System,尖刺陷阱,,,尖刺陷阱,尖刺陷阱,,,官方map;巴哈snA=7
